Date,Sediment - Fine_136106A_kilograms
2012-04-10,6991.32802453489
2012-04-11,5927.15672916241
2012-04-12,5102.54788083117
2012-04-13,4469.31996380822
2012-04-14,3986.24851243112
2012-04-15,3619.89301342844
2012-04-16,3344.13262087642
2012-04-17,3119.10650635685
2012-04-18,2910.54777638882
2012-04-19,2712.35781860145
2012-04-20,2519.94248257428
2012-04-21,2332.90688906292
2012-04-22,2167.36360668447
2012-04-23,2047.38852577319
2012-04-24,2001.13255787894
2012-04-25,2026.93025689659
2012-04-26,2099.90735088323
2012-04-27,2211.75373239523
2012-04-28,2469.35677308769
2012-04-29,2866.6027381284
2012-04-30,3098.16705927208
2012-05-01,3143.20108350101
2012-05-02,3054.03902475055
2012-05-03,2903.42937457108
2012-05-04,2716.02828130081
2012-05-05,2510.81293342839
2012-05-06,2297.73918490518
2012-05-07,2086.9911725507
2012-05-08,1890.67769557401
2012-05-09,1713.00788197348
2012-05-10,1554.02556230855
2012-05-11,1412.57728937554
2012-05-12,1287.84163194015
2012-05-13,1179.07174108962
2012-05-14,1086.82179243943
2012-05-15,1012.44548882595
2012-05-16,957.205833026052
2012-05-17,917.241275507948
2012-05-18,888.042419353223
2012-05-19,866.38121148272
2012-05-20,849.135457528996
2012-05-21,835.842245798572
2012-05-22,834.3019521594
2012-05-23,845.087161104546
2012-05-24,872.69703632258
2012-05-25,947.96304119068
2012-05-26,1193.1404272296
2012-05-27,1372.26063788337
2012-05-28,1490.74404956029
2012-05-29,1541.05278210731
2012-05-30,1539.37101214157
2012-05-31,1510.2662968436
2012-06-01,1528.42736551117
2012-06-02,1541.84705937615
2012-06-03,2458.75301344793
2012-06-04,2834.61908392481
2012-06-05,3011.50300696412
2012-06-06,3019.82326716828
2012-06-07,2911.1082113022
2012-06-08,2738.8559725681
2012-06-09,2550.68493525418
2012-06-10,2399.12228763236
2012-06-11,2278.12650559132
2012-06-12,2141.70942819943
2012-06-13,1990.77836379164
2012-06-14,1829.22277485654
2012-06-15,1663.14579276832
2012-06-16,1504.11378352305
2012-06-17,1356.76464787309
2012-06-18,1222.89067915856
2012-06-19,1102.50083100889
2012-06-20,994.684807922095
2012-06-21,898.177969592199
2012-06-22,812.285779880671
2012-06-23,742.50585910845
2012-06-24,697.53754510505
2012-06-25,758.658952744327
2012-06-26,950.60901855719
2012-06-27,2920.696384478
2012-06-28,4258.00536071935
2012-06-29,5495.45183165898
2012-06-30,6643.99752181801
2012-07-01,7576.34144979265
2012-07-02,8079.27690062922
2012-07-03,8090.80337073791
2012-07-04,7680.40475686476
2012-07-05,7012.67757203769
2012-07-06,6235.19525250493
2012-07-07,5448.00245496384
2012-07-08,4719.95153131011
2012-07-09,4073.92795446173
2012-07-10,3523.22256856766
2012-07-11,3111.46861550462
2012-07-12,2785.91188944879
2012-07-13,2564.29890316962
2012-07-14,2433.14836052729
2012-07-15,2425.68454793742
2012-07-16,3128.43230962908
2012-07-17,6983.03907248368
2012-07-18,15996.6098381871
2012-07-19,26137.2728659921
2012-07-20,31912.2930299436
2012-07-21,32353.0247034662
2012-07-22,29399.964801353
2012-07-23,25106.7754501546
2012-07-24,20720.061179249
2012-07-25,16799.6655333127
2012-07-26,13533.2047675578
2012-07-27,10908.788077312
2012-07-28,8823.97649610398
2012-07-29,7174.0122315168
2012-07-30,5866.06252536066
2012-07-31,4824.94208727156
2012-08-01,3984.71993026467
2012-08-02,3308.7650133891
2012-08-03,2760.80268136499
2012-08-04,2313.86038738952
2012-08-05,1947.41132500959
2012-08-06,1645.6938335809
2012-08-07,1396.33962219181
2012-08-08,1189.67723671331
2012-08-09,1017.31875082184
2012-08-10,873.172655070641
2012-08-11,752.452915507629
2012-08-12,650.788940708916
2012-08-13,565.083390888885
2012-08-14,493.081476129679
2012-08-15,432.175923472847
2012-08-16,380.380430074789
2012-08-17,336.175144087738
2012-08-18,298.343930591428
2012-08-19,265.974284812529
2012-08-20,235.523499597227
2012-08-21,210.646571868698
2012-08-22,191.212139974264
2012-08-23,176.650463287755
2012-08-24,162.597459591168
2012-08-25,150.360712230521
2012-08-26,140.281821037281
2012-08-27,135.784077771727
2012-08-28,131.636590679151
2012-08-29,131.068127799489
2012-08-30,131.675426078073
2012-08-31,133.742908733739
2012-09-01,137.549632099169
2012-09-02,143.305562575056
2012-09-03,153.51166108625
2012-09-04,168.080953251495
2012-09-05,187.444822670418
2012-09-06,211.411321535582
2012-09-07,239.614495509714
2012-09-08,271.429853061825
2012-09-09,304.659304761369
2012-09-10,338.214908961262
2012-09-11,370.308688955992
2012-09-12,399.448093671897
2012-09-13,424.244134752875
2012-09-14,443.144058353118
2012-09-15,455.973743574989
2012-09-16,463.849340751553
2012-09-17,468.260784721747
2012-09-18,470.604763000779
2012-09-19,472.213277075374
2012-09-20,473.963304959855
2012-09-21,476.592626215946
2012-09-22,494.018875987984
2012-09-23,505.525660252765
2012-09-24,515.766837803634
2012-09-25,533.082658859346
2012-09-26,639.064090782311
2012-09-27,711.697530108646
2012-09-28,778.955750576754
2012-09-29,832.45431022441
2012-09-30,876.649530710382
2012-10-01,898.571826789043
2012-10-02,891.452640714072
2012-10-03,892.996017285219
2012-10-04,886.143509072825
2012-10-05,877.930795873256
2012-10-06,869.969557365581
2012-10-07,859.544023425323
2012-10-08,865.106361442457
2012-10-09,868.932106580248
2012-10-10,876.548320440424
2012-10-11,888.205870318018
2012-10-12,1399.7957045208
2012-10-13,1604.84542578756
2012-10-14,1757.75864337235
2012-10-15,1858.51863959783
2012-10-16,1888.463392768
2012-10-17,1857.42525506612
2012-10-18,1797.55920071742
2012-10-19,1717.3437603325
2012-10-20,1633.54274356163
2012-10-21,1554.69187466849
2012-10-22,1485.45286921434
2012-10-23,1425.00038472484
2012-10-24,1366.636590539
2012-10-25,1317.63330672478
2012-10-26,1280.42399841311
2012-10-27,1241.20704570261
2012-10-28,1200.20972214766
2012-10-29,1269.66984879237
2012-10-30,1331.79776060478
2012-10-31,1395.76647953771
2012-11-01,1403.24153672708
2012-11-02,1384.78700943826
2012-11-03,1345.91166082617
2012-11-04,1296.14789487512
2012-11-05,1237.50763354159
2012-11-06,1173.95281888352
2012-11-07,1118.8844703
2012-11-08,1074.91239987809
2012-11-09,1041.18448091488
2012-11-10,2367.03530995862
2012-11-11,3290.4202966077
2012-11-12,3846.0112613426
2012-11-13,4159.33549239221
2012-11-14,4228.63189826187
2012-11-15,4112.872628935
2012-11-16,3820.66910376914
2012-11-17,3438.47511132533
2012-11-18,3129.41795925629
2012-11-19,2744.6340866962
2012-11-20,2375.09637864444
2012-11-21,2022.83470332086
2012-11-22,1726.18009798478
2012-11-23,1500.10010466658
2012-11-24,1339.57475678877
2012-11-25,1191.6775174004
2012-11-26,1055.72958614269
2012-11-27,939.967374546211
2012-11-28,814.178380510835
2012-11-29,723.959313440204
2012-11-30,642.613876232969
2012-12-01,560.100070618527
2012-12-02,481.015529012626
2012-12-03,419.637956498714
2012-12-04,384.96936382306
2012-12-05,344.019494069128
2012-12-06,312.77887978566
2012-12-07,301.256515922874
2012-12-08,294.174718220953
2012-12-09,277.957747272332
2012-12-10,267.693437767322
2012-12-11,237.473765785078
2012-12-12,232.7352776672
2012-12-13,221.740065644802
2012-12-14,215.683881883059
2012-12-15,207.831873000712
2012-12-16,201.433639782199
2012-12-17,200.972582688111
2012-12-18,245.040179565357
2012-12-19,725.079791146131
2012-12-20,945.619892018345
2012-12-21,1120.58478308568
2012-12-22,1298.55849083124
2012-12-23,1466.2831777981
2012-12-24,1610.50956729123
2012-12-25,1674.93524764045
2012-12-26,1677.27497989254
2012-12-27,1677.79598988537
2012-12-28,1637.85567374395
2012-12-29,1583.52862557201
2012-12-30,1523.84732476174
2012-12-31,1452.20461574384
2013-01-01,1400.77875125203
2013-01-02,1358.57749076718
2013-01-03,1326.1194127605
2013-01-04,1280.18182837141
2013-01-05,1247.81386169674
2013-01-06,1230.60707131472
2013-01-07,1207.65730638553
2013-01-08,1190.95891596766
2013-01-09,1175.65401677997
2013-01-10,1163.86352014456
2013-01-11,1159.0683448303
2013-01-12,1171.13116288769
2013-01-13,1174.51956537671
2013-01-14,1167.73558255008
2013-01-15,1168.26952909602
2013-01-16,1155.84578142709
2013-01-17,1162.2754069627
2013-01-18,1165.39340104534
2013-01-19,1164.10247614172
2013-01-20,1235.18835039127
2013-01-21,1265.58359486718
2013-01-22,1269.94033057239
2013-01-23,1261.52147677902
2013-01-24,1274.5048061874
2013-01-25,39102.8697188329
2013-01-26,9445180.17821777
2013-01-27,105472527.310897
2013-01-28,149337659.782424
2013-01-29,41640713.545083
2013-01-30,12395836.9126235
2013-01-31,4642250.51035753
2013-02-01,2177084.80481043
2013-02-02,1166786.25684482
2013-02-03,680644.752747276
2013-02-04,422482.927998495
2013-02-05,276272.528097035
2013-02-06,189070.420347594
2013-02-07,134829.707353045
2013-02-08,99666.7282047698
2013-02-09,76418.2853432959
2013-02-10,60604.1319520037
2013-02-11,49190.0692215505
2013-02-12,40578.8029278811
2013-02-13,34192.143071907
2013-02-14,29338.5017965969
2013-02-15,25749.7969175391
2013-02-16,23233.7930660059
2013-02-17,21239.00575147
2013-02-18,20769.8838527087
2013-02-19,23845.8222572241
2013-02-20,27775.2287698166
2013-02-21,28211.0022426557
2013-02-22,26650.490963542
2013-02-23,23794.9159642068
2013-02-24,20960.9224269227
2013-02-25,19327.1759731801
2013-02-26,1311649.4123009
2013-02-27,9928932.88340412
2013-02-28,11929536.9264547
2013-03-01,7314754.95359548
2013-03-02,5378178.39274349
2013-03-03,15224391.1346151
2013-03-04,14592347.1889695
2013-03-05,9460875.89318627
2013-03-06,5025957.66418805
2013-03-07,2657053.64021797
2013-03-08,1469412.18485875
2013-03-09,871583.311787102
2013-03-10,554627.756269927
2013-03-11,370341.45626018
2013-03-12,256655.389744423
2013-03-13,183140.340878891
2013-03-14,133914.459010738
2013-03-15,100428.441069141
2013-03-16,77409.5106643557
2013-03-17,60966.7237196909
2013-03-18,49671.7322653769
2013-03-19,42259.1443177919
2013-03-20,38527.6489381521
2013-03-21,36934.22272122
2013-03-22,35668.5995939791
2013-03-23,33560.8830385056
2013-03-24,30318.4402440678
2013-03-25,26640.1062844551
2013-03-26,23286.634144003
2013-03-27,20551.33308273
2013-03-28,18344.7334328005
2013-03-29,16602.0098876642
